AFGHANISTAN,AFG,SOUTHERN ASIA
ALAND ISLANDS,ALA,NORTHERN EUROPE
ALBANIA,ALB,SOUTHERN EUROPE
ALGERIA,DZA,NORTHERN AFRICA
AMERICAN SAMOA,ASM,POLYNESIA
ANDORRA,AND,SOUTHERN EUROPE
ANGOLA,AGO,MIDDLE AFRICA
ANGUILLA,AIA,CARIBBEAN
ANTIGUA AND BARBUDA,ATG,CARIBBEAN
ARGENTINA,ARG,SOUTH AMERICA
ARMENIA,ARM,WESTERN ASIA
ARUBA,ABW,CARIBBEAN
AUSTRALIA,AUS,AUSTRALIA AND NEW ZEALAND
AUSTRIA,AUT,WESTERN EUROPE
AZERBAIJAN,AZE,WESTERN ASIA
BAHAMAS,BHS,CARIBBEAN
BAHRAIN,BHR,WESTERN ASIA
BANGLADESH,BGD,SOUTHERN ASIA
BARBADOS,BRB,CARIBBEAN
BELARUS,BLR,EASTERN EUROPE
BELGIUM,BEL,WESTERN EUROPE
BELIZE,BLZ,CENTRAL AMERICA
BENIN,BEN,WESTERN AFRICA
BERMUDA,BMU,NORTHERN AMERICA
BHUTAN,BTN,SOUTHERN ASIA
BOLIVIA,BOL,SOUTH AMERICA
SINT EUSTATIUS AND SABA BONAIRE,BES,CARIBBEAN
BOSNIA AND HERZEGOVINA,BIH,SOUTHERN EUROPE
BOTSWANA,BWA,SOUTHERN AFRICA
BRAZIL,BRA,SOUTH AMERICA
BRUNEI DARUSSALAM,BRN,SOUTH-EASTERN ASIA
BULGARIA,BGR,EASTERN EUROPE
BURKINA FASO,BFA,WESTERN AFRICA
BURUNDI,BDI,EASTERN AFRICA
CAMBODIA,KHM,SOUTH-EASTERN ASIA
CAMEROON,CMR,MIDDLE AFRICA
CANADA,CAN,NORTHERN AMERICA
CABO VERDE,CPV,WESTERN AFRICA
CAYMAN ISLANDS,CYM,CARIBBEAN
CENTRAL AFRICAN REPUBLIC,CAF,MIDDLE AFRICA
CHAD,TCD,MIDDLE AFRICA
CHILE,CHL,SOUTH AMERICA
CHINA,CHN,EASTERN ASIA
COLOMBIA,COL,SOUTH AMERICA
COMOROS,COM,EASTERN AFRICA
CONGO,COG,MIDDLE AFRICA
DEMOCRATIC REPUBLIC OF THE CONGO,COD,MIDDLE AFRICA
COOK ISLANDS,COK,POLYNESIA
COSTA RICA,CRI,CENTRAL AMERICA
CÔTE D'IVOIRE,CIV,WESTERN AFRICA
CROATIA,HRV,SOUTHERN EUROPE
CUBA,CUB,CARIBBEAN
CURAÇAO,CUW,CARIBBEAN
CYPRUS,CYP,WESTERN ASIA
CZECH REPUBLIC,CZE,EASTERN EUROPE
DENMARK,DNK,NORTHERN EUROPE
DJIBOUTI,DJI,EASTERN AFRICA
DOMINICA,DMA,CARIBBEAN
DOMINICAN REPUBLIC,DOM,CARIBBEAN
ECUADOR,ECU,SOUTH AMERICA
EGYPT,EGY,NORTHERN AFRICA
EL SALVADOR,SLV,CENTRAL AMERICA
EQUATORIAL GUINEA,GNQ,MIDDLE AFRICA
ERITREA,ERI,EASTERN AFRICA
ESTONIA,EST,NORTHERN EUROPE
ETHIOPIA,ETH,EASTERN AFRICA
FALKLANDS,FLK,SOUTH AMERICA
FAROE ISLANDS,FRO,NORTHERN EUROPE
FIJI,FJI,MELANESIA
FINLAND,FIN,NORTHERN EUROPE
FRANCE,FRA,WESTERN EUROPE
FRENCH GUIANA,GUF,SOUTH AMERICA
FRENCH POLYNESIA,PYF,POLYNESIA
GABON,GAB,MIDDLE AFRICA
GAMBIA,GMB,WESTERN AFRICA
GEORGIA,GEO,WESTERN ASIA
GERMANY,DEU,WESTERN EUROPE
GHANA,GHA,WESTERN AFRICA
GIBRALTAR,GIB,SOUTHERN EUROPE
GREECE,GRC,SOUTHERN EUROPE
GREENLAND,GRL,NORTHERN AMERICA
GRENADA,GRD,CARIBBEAN
GUADELOUPE,GLP,CARIBBEAN
GUAM,GUM,MICRONESIA
GUATEMALA,GTM,CENTRAL AMERICA
GUERNSEY,GGY,NORTHERN EUROPE
GUINEA,GIN,WESTERN AFRICA
GUINEA-BISSAU,GNB,WESTERN AFRICA
GUYANA,GUY,SOUTH AMERICA
HAITI,HTI,CARIBBEAN
HOLY SEE,VAT,SOUTHERN EUROPE
HONDURAS,HND,CENTRAL AMERICA
HONG KONG,HKG,EASTERN ASIA
HUNGARY,HUN,EASTERN EUROPE
ICELAND,ISL,NORTHERN EUROPE
